address,main_cluster,subcluster
0x93c5ecadd13edd7cf82fedd54d8ae13022a18b1e,4,2
0x99e90b15283c7b435d214a1861e424a20cd60722,4,2
0x9b70b985741c35abfdf273e4516dfc60d5599627,4,2
0x9b87790a3c1b46480370c6a011d07785c700c342,4,2
0x9e8351a86fecba81abc2f010939edd39c92bcb2d,4,2
0x9f7fb72d6e4f7a68e4fbb350aa1773724f28be84,4,2
0xa059c60649a586292a9e272772bd085e4eba623b,4,2
0xa8f08410efdc7226b389ee17d2deb0ac3a1b6a6e,4,2
0xa95b0f5a83d583d7153414340273c2cb8ac76029,4,2
0xa98858e9b77034a1f1ab5e670e7bbd5bfa14621c,4,2
0xae74f70613801f17f655f1494e9289893a97aeed,4,2
0xb044593bad4eecc71c2d706a59f364e460081f6a,4,2
0xb3d46a60f59a287f76b85d1e69307c460d8927e1,4,2
0xb94fe6cd2dfd985cec777c94968bf365217dd32d,4,2
0xb9abe1bd6cea08880b04a29b81cc4f2d76176d70,4,2
0xbae90f1c0fc2b61f62c76b8e02e3b28fad704e20,4,2
0xc1e8f6a96b435bc1f189059b705f192d0e01ce7b,4,2
0xc2c76545440c2d267b4d93a024d709b916ffe649,4,2
0xc4fac44fc15608a46a494170d3eb632e8bb1772a,4,2
0xc49bf61cd37bc9f7729270e02c28287a42ec445b,4,2
0xc73f9b62d48aebb517459f116177d817cab79489,4,2
0xc82812ada504b7749474569188957883319a9138,4,2
0xcb03adbea4f39eb9b93258e3faaeecbfdb3f4ac5,4,2
0xcc6abdcd500414b7d4a1ec3a4a523201a632b1f5,4,2
0xcf18cdc33413025179544dd080e39735016f1f56,4,2
0xd2ddcb0abd6c80c3a534618a869891b114e22415,4,2
0xd570489fe43d687d826db1025830eb14064cf580,4,2
0xd86b9551db8e2a14c4343b7f4f26ecfe229780f9,4,2
0xdaac21b66c6e79271a1080fe068342639e13623b,4,2
0xdc79aa9d7a86dde4b99a4b63d249e36c1abab4e1,4,2
0xe262f906f057ab226ba50361fa8f953ab01fb658,4,2
0xe42fac51f809d3eba31d945129b240f5b4465644,4,2
0xe6571a7a195ec718e0ef2c84f347a78dc49f10b4,4,2
0xe71dc02eb9dd2baa9c8cb1f461d61ca0a404be00,4,2
0xe80497224e30e7f3baa8454c0f2823a3f665ba8b,4,2
0xe8d15a420705b1388615dd301a9c35a29770ace7,4,2
0xe98cd617ff0267a01a97440c836d2fcdf440d1a1,4,2
0xebff19a32c7d5c0e226190fb88fc8e717b0db401,4,2
0xee1c4f9057cf0cd6dc541da33e37404ce9dd2297,4,2
0xf01cded33461317e386cf2c647a8fe5b79e4d586,4,2
0xf219afa2470b30d72dfb197eaa984698ec0f0eb8,4,2
0xf3ec7f0a942119059677de9fe3c2249c04b08d53,4,2
0xf411fdfb585f7fc84902395e330e514051015100,4,2
0xf696be2783d7809d22a5268707dae1c2b2eb0c41,4,2
0xf8c3d20d9020033b3c067e8e2942fdac4705e6fe,4,2
0xf991c2442715a730db3e6ec8c61f4e7c95cc7838,4,2
0xfc9ea99bd13d3ca13bdf4fa0205cde270f0c7313,4,2
0xfcf1d48e856df4fc91dea7a1dae76e6e4051043b,4,2
