Address,S1 Waifu Tokens,S1 Llama Tokens,S1 Waifu Bonus Tokens,S1 Llama Bonus Tokens,S1 Node Rental Bonus Tokens,S1 Llama Points,S1 Waifu Points,S1 Total Base Tokens,S1 Total Bonus Tokens
0xeb1998e4fa7a2dcc3b44782f4bf78f9fe6581827,4623.277603999652,2545.773352162785,89.36550491510278,62.57822277847309,0,18640.76534,159126.80000000002,7169.050956162437,151.94372769357585
0xcbcb27256e421c5480d8ef21793b562cf3c8fa09,272.4047271662237,0,562.0191173391406,0,0,0,9375.792727941396,272.4047271662237,562.0191173391406
0x1c9245c05ed0eefc9a4dc46d362b458e995670d0,1459.4283864522408,3222.0976424293694,89.36550491510278,62.57822277847309,0,25185.248165000005,50231.5,4681.52602888161,151.94372769357585
0x5d4a4346bfa90e80d40d44a86b073e434cac7410,598.8620268467713,2254.869246945037,89.36550491510278,62.57822277847309,0,15825.818505000001,20612,2853.7312737918082,151.94372769357585
0xc429c310d813c886988729a594db74007650cf6e,392.59862750690695,2396.662963302706,89.36550491510278,62.57822277847309,0,17197.891865,13512.699999999999,2789.261590809613,151.94372769357585
0x82b3f010bd7b3ede54e5cfd7e523739529082dc6,0,663.190183406851,0,1041.9757405015973,0,423.86348999999996,0,663.190183406851,1041.9757405015973
0xd95110a3ba77cc33129fab94a97793f089562afd,0,1983.0751976505087,0,1041.9757405015973,0,13195.790997272728,0,1983.0751976505087,1041.9757405015973
0x3ebf261722d787abac90fe22aca73411af43f9fd,8085.677896824678,6413.697604290637,89.36550491510278,62.57822277847309,0,56068.910684999995,278297.81375000003,14499.375501115315,151.94372769357585
0xc4569832be5d2e113cfb6cbdc908dc8ca9dbd052,7.5831063946733615,8691.976194658571,89.36550491510278,62.57822277847309,0,78114.77732000001,261.00000000000006,8699.559301053245,151.94372769357585
0x3cfb25e509cfb67ee7ebd1fcf3e2cae3037329db,3192.7696164181293,1885.9334620986278,89.36550491510278,62.57822277847309,0,12255.794564999998,109890.7,5078.703078516757,151.94372769357585
0x6ac4a1b1f533bc5cb06de78208a3f5cfff4ca316,2.4332764772179845,635.0159927718253,89.36550491510278,62.57822277847309,0,151.23465,83.75,637.4492692490433,151.94372769357585
