Address,S2 waifu_reward_tokens,S2 llama_reward_tokens,S2 Total Base Tokens
0x5db3c942c2e9d9d857cb76b1124f33a3d6d0e39f,4964.083252149198,35159.82332679855,40123.906578947746
0x23da5c501dc99f7b2d883a2c016d3d5ee0e00e8a,0,39406.36810211851,39406.36810211851
0xaf3e910b999f58824828f0ca57a654ca645fa1f1,6550.355421343062,29285.28245849699,35835.637879840055
0x9b9f6a99821feae220d8b6eb9f35d9d9237e9c93,35608.71771014754,0,35608.71771014754
0xb346ef1de50becad8ee1de2651957d99513f3f7a,33069.0474891225,3.4827079355167045,33072.53019705802
0x48df10fe4fe7983f812be9d8fe3cc3e782533fd4,0,32015.98742051037,32015.98742051037
0x477920e54ec060ca75c4274d789f9e4cbfc8d487,30810.380615410006,0,3213.597025614665
0xb0693d2de1ebb6afba73200c6716b37e0b73839c,5889.648795296598,23659.30754987538,29548.956345171977
0xb99fd4ef41dc30733b9a3b26a40b5714a56b41f0,0,29490.758015198746,29490.758015198746
0xafe5364bc118934c04804fc888ff45845c2edbf9,10185.257203217176,19158.99434916896,29344.251552386137
0x8b80d59e43cc22fde69ae85c76432ae28b1eb394,9748.700177777682,19533.712619542715,29282.412797320398
0x4d20a2d71b0b1314a0107cdf6742a12fce5f9700,24325.86202834011,4939.4308498331575,29265.29287817327
0xe5b00c84b27a8c4209c27717c9d08f5f83373198,7011.848010574734,20847.960840103948,27859.80885067868
0x997257122bd5b8917d6cb3d051a263423be0b5d0,7137.134304831436,20262.751355853306,27399.88566068474
0x84118e3f240f8773bbf70f5f5172d152b0865e59,0,26587.396649487306,26587.396649487306
0x06e03e069063a90e65fc78a8feb5441293d8763f,26400.650822162614,0,26400.650822162614
0x45f1211a52738f9dd8e06001908348e49bcd0e77,25468.248525582665,79.2036075678582,2449.5190522804137
0xea62defcdfe5254d4dcefcb147fce0eb34a4003e,0,25492.39946057649,25492.39946057649
0x6c66aa2f844e03debd428cc59f1cd24960419d97,24967.22247645984,0,24967.22247645984
0x271873eeab431cc08978114bce362274ff5d0008,0,24817.507772648496,24288.88498709869
0x1abc30bcf0f7de495354aa32917f56b57852776e,0,23495.601754507523,2279.284062177421
0x54e9e8e7308071a2a574d1d5f7c3dbb3dba5f6cc,7631.382867418847,14778.964819553858,22388.523557810146
0xa1c1903ed27adf97cf3ebc37871aef55cd4c1e4b,10385.562126216313,10804.246299058319,21189.808425274634
0xaf8fbf566b8d9fb04a983327f2a10f57d1f729ef,19912.95101987024,1217.2827871461818,21130.233807016422
0xc678d50a8b97408a16af6e8e5e0e46a915bae4e5,0,20917.98269991846,8995.19145852332
0xe4185fdd13b584bb12dc002bdc6e335809cb3033,9300.408851368122,11285.27286266044,3444.472530036578
0x613af62ee6a4cbaa5f3fdeebeb1d47daf3fe316b,478.9620977136072,19988.744445652632,1981.2166781340106
0xc3f699b5a725645f211588a05e7595f6f34f6a21,15603.717965078917,4245.667751085137,3122.969863131423
0x203c2adcf600b5db9c9805cb75f0b9bd02a9e909,7910.84965288391,11703.203605091032,19614.05325797494
0xe7e6e1840d3facb2b22d62cf6a1a0575216783ce,9847.462094077702,9368.98481125492,19216.446905332625
0x6d2dc84fdf7823df2e3d607051eefb26eb7339aa,9730.374492769419,9292.872863269204,19023.24735603862
0xb241f5cde42e4b35d612e1ff4be4427fdda3a218,0,18840.785734292207,18840.785734292207
0x855fdae743e78b76fd74e02957c31235e93f63a0,0,18810.01093239739,18810.01093239739
0x79f171b2c19ce63de8e1ed9f997df1c85f204812,9691.986936014182,9113.743557667456,18805.730493681636
0xf3a037e0f1de35177591d7ec23b9d1a182a1de1a,9849.059554260253,8948.296221708528,18797.355775968783
0x0aa3d61e2c25417ff10cc6f0282160652e983154,0,18796.765016515317,18796.765016515317
0x43f098910df6e6e52d28fcf8d325bb0e5114d986,0,18794.810605507777,18794.810605507777
